OCC2010,Occupation category description,1950,1960,1970,1980,1990,2000,ACS 2003-2009,
#,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS",,,,,,,,
10,Chief executives and legislators/public administration,250,270,,3,3,1,10,
10,,,,,4,4,3,30,
20,General and Operations Managers,,,,,,2,20,
30,"Managers in Marketing, Advertising, and Public Relations",,163,192,13,13,,,
30,,,,,,,4,40,
30,,,,231,,,5,50,
30,,,,233,,,,,
30,,,,,,,6,60,
100,Administrative Services Managers,,,,,,10,100,
110,Computer and Information Systems Managers,,,,,,11,110,
120,Financial Managers,,,202,7,7,12,120,
120,,,,210,,,,,
130,Human Resources Managers,,,,8,8,13,130,
130,,,,,,,,,
130,,,,,,,,,
130,,,,,,,,,
140,Industrial Production Managers,,,,,,14,140,
150,Purchasing Managers,,,,9,9,15,150,
160,"Transportation, Storage, and Distribution Managers",,,,,,16,160,
205,"Farmers, Ranchers, and Other Agricultural Managers",100,200,801,473,473,20,200,
205,,123,222,821,474,474,21,210,
205,,,,802,475,475,,,
205,,,,806,476,476,,,
220,Constructions Managers,,,,,,22,220,
230,Education Administrators,10,30,235,14,14,23,230,
230,,,,240,,,,,
300,Architectural and Engineering Managers,,,,,,30,300,
310,Food Service and Lodging Managers,,,230,,17,31,310,
310,,,,,,,34,340,
320,Funeral Directors,54,104,211,18,19,32,320,
320,,,,,,,,,
330,Gaming Managers,,,,,,33,330,
350,Medical and Health Services Managers,,,212,15,15,35,350,
360,Natural Science Managers,,,,,,36,360,
410,"Property, Real Estate, and Community Association Managers",230,262,216,16,18,41,410,
420,Social and Community Service Managers,,,,,,42,420,
420,,,,,,,,,
430,"Managers, nec (including Postmasters)",270,280,224,5,5,40,400,
430,,260,275,201,6,6,43,430,
430,,290,290,220,19,16,,,
430,,,,222,17,21,,,
430,,,,223,,22,,,
430,,,,245,,,,,
430,,,,246,,,,,
#,BUSINESS OPERATIONS SPECIALISTS,,,,,,,,
500,"Agents and Business Managers of Artists, Performers, and Athletes",,,,34,34,50,500,
510,"Buyers and Purchasing Agents, Farm Products",201,251,203,28,28,51,510,
520,"Wholesale and Retail Buyers, Except Farm Products",200,250,205,29,29,52,520,
530,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",280,285,225,33,33,53,530,
540,"Claims Adjusters, Appraisers, Examiners, and Investigators",,321,326,375,375,54,540,
560,"Compliance Officers, Except Agriculture",210,260,215,36,36,56,560,
560,,,,,,,,,
600,Cost Estimators,,,,,,60,600,
620,"Human Resources, Training, and Labor Relations Specialists",,,,27,27,62,620,
620,,,,,,,,,
620,,,,,,,,,
620,,,,,,,,,
700,Logisticians,,,,,,70,700,
710,Management Analysts,,,,26,26,71,710,
720,Meeting and Convention Planners,,,,,,72,720,
720,,,,,,,,,
720,,,,,,,,,
730,Other Business Operations and Management Specialists,,,,37,37,73,730,
730,,,,,,,,,
730,,,,,,,,,
#,FINANCIAL SPECIALISTS,,,,,,,,
800,Accountants and Auditors,0,0,1,23,23,80,800,
810,Appraisers and Assessors of Real Estate,,,,,,81,810,
820,Budget Analysts,,,,,,82,820,
830,Credit Analysts,,,,,,83,830,
840,Financial Analysts,,,,,,84,840,
850,Personal Financial Advisors,,,,,,85,850,
860,Insurance Underwriters,,,,24,24,86,860,
900,Financial Examiners,,,,,,90,900,
910,Credit Counselors and Loan Officers,,,,,,91,910,
930,"Tax Examiners and Collectors, and Revenue Agents",,,,,,93,930,
940,Tax Preparers,,,,,,94,940,
950,"Financial Specialists, nec",204,253,,25,25,95,950,
#,COMPUTER AND MATHEMATICAL,,,,,,,,
1000,Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers,,,4,64,64,100,1000,
1000,,,,5,,,111,1110,
1000,,,,,,,,,
1000,,,,,,,,,
1000,,,,,,,,,
1000,,,,,,,,,
1000,,,,,,,,,
1000,,,,,,,,,
1010,Computer Programmers,,,3,229,229,101,1010,
1020,"Software Developers, Applications and Systems Software",,,,,,102,1020,
1050,Computer Support Specialists,,,,,,104,1040,
1050,,,,,,,,,
1060,Database Administrators,,,,,,106,1060,
1100,Network and Computer Systems Administrators,,,,,,110,1100,
1100,,,,,,,,,
1200,Actuaries,,,34,66,66,120,1200,
1220,Operations Research Analysts,,,55,65,65,122,1220,
1230,Statisticians,83,174,36,67,67,123,1230,
1240,"Mathematical science occupations, nec",67,135,35,68,68,121,1210,
1240,,,,,,,124,1240,
#,ARCHITECTURE AND ENGINEERING,,,,,,,,
1300,"Architects, Except Naval",3,13,2,43,43,130,1300,
1310,"Surveyors, Cartographers, and Photogrammetrists",92,181,,63,63,131,1310,
1310,,630,642,,866,867,,,
1320,Aerospace Engineers,41,80,6,44,44,132,1320,
1350,Chemical Engineers,42,81,10,48,48,135,1350,
1360,Civil Engineers,43,82,11,53,53,136,1360,
1400,Computer Hardware Engineers,,,,,,140,1400,
1410,Electrical and Electronics Engineers,44,83,12,55,55,141,1410,
1420,Environmental Engineers,,,,,,142,1420,
1430,"Industrial Engineers, including Health and Safety",45,84,13,56,56,143,1430,
1440,Marine Engineers and Naval Architects,,,,58,58,144,1440,
1450,Materials Engineers,47,90,15,45,45,145,1450,
1460,Mechanical Engineers,46,85,14,57,57,146,1460,
1520,"Petroleum, mining and geological engineers, including mining safety engineers",48,91,21,46,46,150,1500,
1520,,,,20,47,47,152,1520,
1530,"Engineers, nec",49,93,23,59,59,151,1510,
1530,,,,,49,49,153,1530,
1530,,,,,,,133,,
1530,,,,,54,54,134,,
1540,Drafters,35,74,152,217,217,154,1540,
#,    TECHNICIANS,,,,,,,,
1550,"Engineering Technicians, Except Drafters",,190,153,214,214,155,1550,
1550,,,,154,215,215,,,
1550,,,,162,216,216,,,
1550,,,,155,,,,,
1560,Surveying and Mapping Technicians,,,161,218,218,156,1560,
#,"LIFE, PHYSICAL, AND SOCIAL SCIENCE",,,,,,,,
1600,Agricultural and Food Scientists,61,130,42,77,77,160,1600,
1610,Biological Scientists,62,131,44,78,78,161,1610,
1610,,,,52,,,,,
1640,Conservation Scientists and Foresters,53,103,25,79,79,164,1640,
1650,"Medical Scientists, and Life Scientists, All Other",,,,83,83,165,1650,
1650,,,,,,,,,
1700,Astronomers and Physicists,68,140,53,69,69,170,1700,
1710,Atmospheric and Space Scientists,,,43,74,74,171,1710,
1720,Chemists and Materials Scientists,7,21,45,73,73,172,1720,
1740,Environmental Scientists and Geoscientists,63,134,51,75,75,174,1740,
1760,"Physical Scientists, nec",69,145,54,76,76,176,1760,
1800,Economists and market researchers,81,172,91,166,166,180,1800,
1800,,,,,,,181,1810,
1810,,,,,,,,,
1820,Psychologists,82,173,93,167,167,182,1820,
1830,Urban and Regional Planners,,,95,173,173,184,1840,
1840,"Social Scientists, nec",52,175,96,168,168,186,1860,
1840,,84,102,92,169,169,183,,
1840,,,,94,,,,,
1840,,,,24,,,,,
1840,,,,26,,,,,
1900,Agricultural and Food Science Technicians,,,,,,190,1900,
1910,Biological Technicians,,,150,223,223,191,1910,
1920,Chemical Technicians,,,151,224,224,192,1920,
1930,"Geological and Petroleum Technicians, and Nuclear Technicians",,,,,,193,1930,
1930,,,,,,,194,1940,
1960,"Life, Physical, and Social Science Technicians, nec",95,191,156,213,213,196,1960,
1960,,96,192,173,225,225,,,
1960,,,,,235,235,,,
1980,"Professional, Research, or Technical Workers, nec",99,195,195,,,,,
1980,,,,196,,,,,
#,COMMUNITY AND SOCIAL SERVICES,,,,,,,,
2000,Counselors,,,174,163,163,200,2000,
2010,Social Workers,79,171,100,174,174,201,2010,
2010,,,,,,,,,
2010,,,,,,,,,
2020,"Community and Social Service Specialists, nec",,,954,467,465,202,2020,
2020,,,,,,,,,
2040,Clergy,9,23,86,176,176,204,2040,
2050,"Directors, Religious Activities and Education",,,,,,205,2050,
2060,"Religious Workers, nec",78,170,90,177,177,206,2060,
#,LEGAL,,,,,,,,
2100,"Lawyers, and judges, magistrates, and other judicial workers",55,105,31,178,178,210,2100,
2100,,,,30,179,179,211,2110,
2140,Paralegals and Legal Assistants,,,,234,234,214,2140,
2140,,,,,,,,,
2150,"Legal Support Workers, nec",,,,,,215,2150,
2150,,,,,,,,,
#,"EDUCATION, TRAINING, AND LIBRARY",,,,,,,,
2200,Postsecondary Teachers,17,41,103,113,113,220,2200,
2200,,13,32,104,114,114,,,
2200,,14,34,105,115,115,,,
2200,,23,45,110,116,116,,,
2200,,24,50,114,118,118,,,
2200,,15,35,116,119,119,,,
2200,,16,40,120,123,123,,,
2200,,18,42,121,125,125,,,
2200,,25,51,111,127,127,,,
2200,,28,54,112,128,128,,,
2200,,12,31,125,139,139,,,
2200,,19,43,132,145,145,,,
2200,,26,52,133,147,147,,,
2200,,27,53,131,149,149,,,
2200,,29,60,102,117,117,,,
2200,,,,113,124,124,,,
2200,,,,115,126,126,,,
2200,,,,122,129,129,,,
2200,,,,123,133,133,,,
2200,,,,124,134,134,,,
2200,,,,126,135,135,,,
2200,,,,130,136,136,,,
2200,,,,134,137,137,,,
2200,,,,135,138,138,,,
2200,,,,140,143,143,,,
2200,,,,,144,144,,,
2200,,,,,146,146,,,
2200,,,,,148,148,,,
2200,,,,,153,153,,,
2200,,,,,154,154,,,
2300,Preschool and Kindergarten Teachers,,,143,155,155,230,2300,
2310,Elementary and Middle School Teachers,93,182,142,156,156,231,2310,
2320,Secondary School Teachers,,183,144,157,157,232,2320,
2330,Special Education Teachers,,,,158,158,233,2330,
2340,Other Teachers and Instructors,,184,141,159,159,234,2340,
2340,,,,145,,,,,
2400,"Archivists, Curators, and Museum Technicians",,,33,165,165,240,2400,
2430,Librarians,56,111,32,164,164,243,2430,
2440,Library Technicians,,,,,,244,2440,
2540,Teacher Assistants,,,382,387,387,254,2540,
2540,,,,,,467,,,
2550,"Education, Training, and Library Workers, nec",,,,,,255,2550,
#,"ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA",,,,,,,,
2600,Artists and Related Workers,4,14,190,188,188,260,2600,
2630,Designers,33,72,183,185,185,263,2630,
2630,,514,420,425,,,,,
2700,"Actors, Producers, and Directors",1,10,175,187,187,270,2700,
2700,,,,,,,271,2710,
2720,"Athletes, Coaches, Umpires, and Related Workers",5,15,180,199,199,272,2720,
2720,,91,180,,,,,,
2740,Dancers and Choreographers,31,70,182,193,193,274,2740,
2750,"Musicians, Singers, and Related Workers",57,120,185,186,186,275,2750,
2760,"Entertainers and Performers, Sports and Related Workers, All Other",51,101,194,194,194,276,2760,
2800,Announcers,,,193,198,198,280,2800,
2810,"Editors, News Analysts, Reporters, and Correspondents",36,75,184,195,195,281,2810,
2810,,,,,,,283,2830,
2825,Public Relations Specialists,,,,197,197,282,2820,
2825,,,,,,,,,
2840,Technical Writers,,,,184,184,284,2840,
2850,Writers and Authors,6,20,181,183,183,285,2850,
2860,"Media and Communication Workers, nec",,,,,,286,2860,
2900,"Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other",76,164,171,228,228,290,2900,
2900,,,,,,,296,2960,
2910,Photographers,74,161,191,189,189,291,2910,
2920,"Television, Video, and Motion Picture Camera Operators and Editors",,,,,,292,2920,
#,HEALTHCARE PRACTITIONERS AND TECHNICAL,,,,,,,,
3000,Chiropractors,8,22,61,,,300,3000,
3010,Dentists,32,71,62,85,85,301,3010,
3030,Dieticians and Nutritionists,34,73,74,97,97,303,3030,
3040,Optometrists,70,152,63,87,87,304,3040,
3050,Pharmacists,73,160,64,96,96,305,3050,
3060,Physicians and Surgeons,71,153,65,84,84,306,3060,
3060,,75,162,,,,,,
3110,Physician Assistants,,,,106,106,311,3110,
3120,Podiatrists,,,71,88,88,312,3120,
3130,Registered Nurses,58,150,75,95,95,313,3130,
3130,,,,,,,,,
3130,,,,,,,,,
3130,,,,,,,,,
3140,Audiologists,,,,,,314,3140,
3150,Occupational Therapists,,,,99,99,315,3150,
3160,Physical Therapists,,,,103,103,316,3160,
3200,Radiation Therapists,,,,,,320,3200,
3210,Recreational Therapists,,,,,,321,3210,
3220,Respiratory Therapists,,,,98,98,322,3220,
3230,Speech Language Pathologists,,,,104,104,323,3230,
3240,"Therapists, nec",97,193,76,105,105,324,3240,
3240,,,,,,,,,
3250,Veterinarians,98,194,72,86,86,325,3250,
3260,"Health Diagnosing and Treating Practitioners, nec",772,840,73,,,326,3260,
3260,,,,924,,,,,
3300,Clinical Laboratory Technologists and Technicians,94,185,80,203,203,330,3300,
3310,Dental Hygienists,,,81,204,204,331,3310,
3320,Diagnostic Related Technologists and Technicians,,,,,,332,3320,
3400,Emergency Medical Technicians and Paramedics,,,,,,340,3400,
3410,Health Diagnosing and Treating Practitioner Support Technicians,,,83,206,206,341,3410,
3410,,,,,,,,,
3500,Licensed Practical and Licensed Vocational Nurses,781,842,926,207,207,350,3500,
3510,Medical Records and Health Information Technicians,,,82,205,205,351,3510,
3520,"Opticians, Dispensing",563,494,506,677,677,352,3520,
3530,"Health Technologists and Technicians, nec",,,85,208,208,353,3530,
3530,,,,,,,,,
3540,"Healthcare Practitioners and Technical Occupations, nec",,,,89,89,354,3540,
#,HEALTHCARE SUPPORT,,,,,,,,
3600,"Nursing, Psychiatric, and Home Health Aides",59,151,925,,,360,3600,
3610,Occupational Therapy Assistants and Aides,,,,,,361,3610,
3620,Physical Therapist Assistants and Aides,,,,,,362,3620,
3630,Massage Therapists,,,,,,363,3630,
3640,Dental Assistants,,,921,445,445,364,3640,
3650,"Medical Assistants and Other Healthcare Support Occupations, nec",302,303,923,446,446,365,3650,
3650,,730,810,84,447,447,,,
3650,,,,922,,,,,
3650,,,,,,,,,
3650,,,,,,,,,
3650,,,,,,,,,
3650,,,,,,,,,
#,PROTECTIVE SERVICE,,,,,,,,
3700,First-Line Supervisors of Correctional Officers,,,,,,370,3700,
3710,First-Line Supervisors of Police and Detectives,,,,414,414,371,3710,
3720,First-Line Supervisors of Fire Fighting and Prevention Workers,,,,413,413,372,3720,
3730,"Supervisors, Protective Service Workers, All Other",,,,415,415,373,3730,
3740,Firefighters,762,850,961,417,417,374,3740,
3750,Fire Inspectors,,,,416,416,375,3750,
3800,"Sheriffs, Bailiffs, Correctional Officers, and Jailers",782,854,965,424,424,380,3800,
3800,,,,,423,423,,,
3820,Police Officers and Detectives,,,,,,382,3820,
3820,,771,852,964,418,418,385,3850,
3820,,773,853,,,,386,3860,
3900,Animal Control,,,,,,390,,
3910,Private Detectives and Investigators,,,,,,391,3910,
3930,Security Guards and Gaming Surveillance Officers,,,962,426,426,392,3920,
3930,,,,,,,,,
3940,Crossing Guards,,,960,425,425,394,3940,
3950,"Law enforcement workers, nec",763,851,963,427,427,383,3830,
3950,,,,,,,384,3840,
3950,,,,,,,395,3950,
3950,,,,,,,,,
#,FOOD PREPARATION AND SERVING,,,,,,,,
4000,Chefs and Cooks,754,825,912,404,404,400,4000,
4000,,,,981,436,436,402,4020,
4010,First-Line Supervisors of Food Preparation and Serving Workers,,,,433,433,401,4010,
4030,Food Preparation Workers,790,835,,439,439,403,4030,
4040,Bartenders,750,815,910,434,434,404,4040,
4050,"Combined Food Preparation and Serving Workers, Including Fast Food",,,,437,,405,4050,
4060,"Counter Attendant, Cafeteria, Food Concession, and Coffee Shop",760,830,914,438,438,406,4060,
4110,Waiters and Waitresses,784,875,915,435,435,411,4110,
4120,"Food Servers, Nonrestaurant",,,,,,412,4120,
4130,"Food preparation and serving related workers, nec",,,911,443,443,413,4130,
4130,,,,916,444,444,416,4160,
4140,Dishwashers,,,913,,,414,4140,
